intron_id,sa.eff
Os01g0116000.intron2,138
Os01g0116100.intron1,1835
Os01g0116101.intron1,0
Os01g0116200.intron1,0
Os01g0116200.intron2,0
Os01g0116250.intron1,120
Os01g0116400.intron1,9
Os01g0116400.intron2,108
Os01g0116600.intron1,3540
Os01g0116600.intron2,1728
Os01g0116600.intron3,4868
Os01g0116600.intron4,13300
Os01g0116600.intron5,3663
Os01g0116600.intron6,2329
Os01g0116600.intron7,1305
Os01g0116600.intron8,22867
Os01g0116600.intron9,3710
Os01g0116600.intron10,33599
Os01g0116600.intron11,3540
Os01g0116600.intron12,1728
Os01g0116600.intron13,4868
Os01g0116600.intron14,13300
Os01g0116600.intron15,3663
Os01g0116600.intron16,2329
Os01g0116650.intron1,248
Os01g0116900.intron1,12575
Os01g0116900.intron2,21606
Os01g0116901.intron1,0
Os01g0117000.intron1,0
Os01g0117000.intron2,0
Os01g0117000.intron3,0
Os01g0117000.intron4,0
Os01g0117025.intron1,0
Os01g0117025.intron2,0
Os01g0117100.intron1,0
Os01g0117100.intron2,0
Os01g0117200.intron1,0
Os01g0117200.intron2,0
Os01g0117450.intron1,0
Os01g0117500.intron1,0
Os01g0117500.intron2,2741
Os01g0117600.intron1,0
Os01g0117600.intron2,138
Os01g0117650.intron1,0
Os01g0117700.intron1,1148
Os01g0117900.intron1,216
Os01g0117900.intron2,0
Os01g0117900.intron3,0
Os01g0117900.intron4,0
Os01g0117900.intron5,0
Os01g0117900.intron6,216
Os01g0117900.intron7,0
Os01g0117900.intron8,0
Os01g0117900.intron9,0
Os01g0117900.intron10,0
Os01g0117900.intron11,0
Os01g0117900.intron12,0
Os01g0117900.intron13,0
Os01g0117900.intron14,0
Os01g0117900.intron15,0
Os01g0117900.intron16,0
Os01g0118000.intron1,188524
Os01g0118000.intron2,7338
Os01g0118000.intron3,8252
Os01g0118000.intron4,76062
Os01g0118000.intron5,8662
Os01g0118100.intron1,2561
Os01g0118100.intron2,32733
Os01g0118100.intron3,2266
Os01g0118100.intron4,29045
Os01g0118100.intron5,4140
Os01g0118100.intron6,3466
Os01g0118100.intron7,3492
Os01g0118100.intron8,17078
Os01g0118100.intron9,7119
Os01g0118100.intron10,2021
Os01g0118100.intron11,718
Os01g0118100.intron12,26791
Os01g0118300.intron1,1805
Os01g0118300.intron2,4466
Os01g0118300.intron3,1265
Os01g0118300.intron4,8940
Os01g0118300.intron5,573
Os01g0118300.intron6,239
Os01g0118300.intron7,17
Os01g0118300.intron8,1788
Os01g0118300.intron9,5437
Os01g0118300.intron10,5433
Os01g0118300.intron11,0
Os01g0118300.intron12,1805
Os01g0118300.intron13,4466
Os01g0118300.intron14,1265
Os01g0118300.intron15,8940
Os01g0118300.intron16,573
Os01g0118300.intron17,207
Os01g0118300.intron18,17
Os01g0118300.intron19,1788
Os01g0118300.intron20,5437
Os01g0118300.intron21,5433
Os01g0118300.intron22,0
Os01g0118400.intron1,756
Os01g0118400.intron2,79
Os01g0118400.intron3,1061
Os01g0118400.intron4,0
Os01g0118400.intron5,1030
Os01g0118600.intron1,1309
Os01g0118600.intron2,833
Os01g0118600.intron3,0
Os01g0118700.intron1,41454
Os01g0118700.intron2,83790
Os01g0118700.intron3,263979
Os01g0119000.intron1,190976
Os01g0119000.intron2,125488
Os01g0119000.intron3,7818
Os01g0119000.intron4,190976
Os01g0119000.intron5,125488
Os01g0119000.intron6,7818
Os01g0119100.intron1,69356
Os01g0119100.intron2,5978
Os01g0119100.intron3,3564
Os01g0119500.intron1,130101
Os01g0120300.intron1,1820
Os01g0120300.intron2,23518
Os01g0120300.intron3,15818
Os01g0120300.intron4,1329
Os01g0120300.intron5,111
Os01g0120300.intron6,1136
Os01g0120300.intron7,6185
Os01g0120300.intron8,2062
Os01g0120300.intron9,16720
Os01g0120300.intron10,6779
Os01g0120300.intron11,1283
Os01g0120300.intron12,12161
Os01g0120300.intron13,2627
Os01g0120300.intron14,2909
Os01g0120300.intron15,3403
Os01g0120300.intron16,10359
Os01g0120400.intron1,34326
Os01g0120400.intron2,25717
Os01g0120400.intron3,8900
Os01g0120400.intron4,15867
Os01g0120400.intron5,69584
Os01g0120400.intron6,4330
Os01g0120400.intron7,2838
Os01g0120400.intron8,34326
Os01g0120400.intron9,25717
Os01g0120400.intron10,8900
Os01g0120400.intron11,15867
Os01g0120400.intron12,69584
Os01g0120400.intron13,4330
Os01g0120400.intron14,2838
